Recital	Forces Unformatted	Attribute (Dropdown)	Parent Heading (Dropdown)	Formatted Force (Autogenerated)	Patterns with Hyperlinks (HTML)	General Category	Art Title	Art. Link (Autogen)	Art.
52	Processing of special categories of data may be permitted for public interest when carried out with special safeguards regulated by member state law.	Special Obligations, Public Interest	Grounds which may justify processing sensitive data	Processing of special categories of data may be permitted for public interest when carried out with special safeguards regulated by member state law.  Processing of special categories of personal data; Recital 52 	This information determines the level of protection afforded to users, and may influence their consent. Thus all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It also affects <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Processing of special categories of personal data	https://gdpr-info.eu/art-9-gdpr	9
53	Special categories of health data may be processed for the benefit of natural persons or public interest, where specified by member state law which still allows free flow of data, in particular where held to professional secrecy.	Special Obligations, Public Interest, Secrecy	Grounds which may justify processing sensitive data	Special categories of health data may be processed for the benefit of natural persons or public interest, where specified by member state law which still allows free flow of data, in particular where held to professional secrecy.  Processing of special categories of personal data; Recital 53 	This information determines the level of protection afforded to users, and may influence their consent. Thus all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It also affects <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Processing of special categories of personal data	https://gdpr-info.eu/art-9-gdpr	9
54	Processing of health data without consent may be permitted for public interest when carried out with special safeguards regulated by member state law.	Special Obligations, Public Interest	Grounds which may justify processing sensitive data	Processing of health data without consent may be permitted for public interest when carried out with special safeguards regulated by member state law.  Processing of special categories of personal data; Recital 54 	This information determines the level of protection afforded to users, and may influence their consent. Thus all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It also affects <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Processing of special categories of personal data	https://gdpr-info.eu/art-9-gdpr	9
56	Political parties may process data on political opinion during electoral activities, so long as safeguards are taken.	Special Obligations, Public Interest	Grounds which may justify processing sensitive data	Political parties may process data on political opinion during electoral activities, so long as safeguards are taken.  Lawfulness of processing, especially that of special categories of personal data; Recital 56 	This information determines the level of protection afforded to users, and may influence their consent. Thus all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It also affects <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Lawfulness of processing, especially that of special categories of personal data	https://gdpr-info.eu/chapter-2	6,9
A9	Sensitive data may be processed as per consent, legal obligations, vital interest, safeguarded legitimate membership or related consensual contact, self-publicized information, judicial activity, or substantial public interest. Such interests may be preventative medicine, pandemics, or for proportionate archival. Professional secrecy must be upheld.	Special Obligations, Public Interest, Secrecy	Grounds which may justify processing sensitive data	Sensitive data may be processed as per consent, legal obligations, vital interest, safeguarded legitimate membership or related consensual contact, self-publicized information, judicial activity, or substantial public interest. Such interests may be preventative medicine, pandemics, or for proportionate archival. Professional secrecy must be upheld.  Processing of special categories of personal data; Recital A9 	This information determines the level of protection afforded to users, and may influence their consent. Thus all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It also affects <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Processing of special categories of personal data	https://gdpr-info.eu/art-9-gdpr	9
98	Industry is encouraged to prepare codes of conduct to facilitate adherence to data protection principles. Associations may also amend or extend such codes, though only codes approved by the supervisory authority (local) or the Board and the Commission (EU) shall apply. The Board will publish approved codes in a register. These can also be used for appropriate safeguards in international transfers.	Codes of Conduct, Third Country	Codes of Conduct	Industry is encouraged to prepare codes of conduct to facilitate adherence to data protection principles. Associations may also amend or extend such codes, though only codes approved by the supervisory authority (local) or the Board and the Commission (EU) shall apply. The Board will publish approved codes in a register. These can also be used for appropriate safeguards in international transfers.  Codes of conduct; Recital 98 	Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This force may additionally feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Codes of conduct	https://gdpr-info.eu/art-40-gdpr	40
99	Codes of conduct shall cover fairness and transparency; legitimate interests; collection; pseudonymization; notice; exercise of user rights; minors; security and data protection by design; breach notification; international transfers; dispute resolution; and compliance therein. Representatives affecting codes of conduct should consult relevant stakeholders, which may include users.	Codes of Conduct	Codes of Conduct	Codes of conduct shall cover fairness and transparency; legitimate interests; collection; pseudonymization; notice; exercise of user rights; minors; security and data protection by design; breach notification; international transfers; dispute resolution; and compliance therein. Representatives affecting codes of conduct should consult relevant stakeholders, which may include users.  Codes of conduct; Recital 99 	Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This force may additionally feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Codes of conduct	https://gdpr-info.eu/art-40-gdpr	40
A41	Accredited monitoring of compliance through codes of conduct obligates taking appropriate action against infringing controllers or processors, and informing the supervisory authority. This does not include monitoring public authorities or bodies.	Codes of Conduct	Codes of Conduct	Accredited monitoring of compliance through codes of conduct obligates taking appropriate action against infringing controllers or processors, and informing the supervisory authority. This does not include monitoring public authorities or bodies.  Monitoring of approved codes of conduct; Recital A41 	N/A	Considerations	Monitoring of approved codes of conduct	https://gdpr-info.eu/art-41-gdpr	41
41	Processing on grounds of legitimate interest or legal basis may refer to international or European law, as well as member state law, but should have a clear, precise, and foreseeable application.	Legal Obligation, Legitimate Interest	Legal obligations to process personal data	Processing on grounds of legitimate interest or legal basis may refer to international or European law, as well as member state law, but should have a clear, precise, and foreseeable application.  Lawfulness of processing; Recital 41 	This relates more to patterns within <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>	Grounds	Lawfulness of processing	https://gdpr-info.eu/art-6-gdpr	6
45	Controllers may process personal data when it is necessary to fulfill their legal obligations, or obligations to public interest or an official authority.	Legal Obligation, Public Interest	Legal obligations to process personal data	Controllers may process personal data when it is necessary to fulfill their legal obligations, or obligations to public interest or an official authority.  Lawfulness of processing; Recital 45 	Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. Notice on this may further be <a class="pattern" href="https://privacypatterns.org/patterns/Ambient-Notice">Ambient</a> or <a class="pattern" href="https://privacypatterns.org/patterns/Asynchronous-Notice">Asynchronous</a>. This force may additionally feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Grounds	Lawfulness of processing	https://gdpr-info.eu/art-6-gdpr	6
44	Controllers may process a user's personal data when it is necessary to fulfill a contract entered into by the user.	Legal Obligation, Contract	Obligations from a contract that the user entered into	Controllers may process a user's personal data when it is necessary to fulfill a contract entered into by the user.  Lawfulness of processing; Recital 44 	This mainly features in <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>. Though, it also relates to <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, and all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns, as well as <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. Policy information therein can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Policy-Matching-Display">Policy Matching</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Dynamic-Privacy-Policy-Display">Dynamic</a>, or a simple <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Policy-Display">Privacy Policy Display</a>, enriched by appropriate <a class="pattern" href="https://privacypatterns.org/patterns/Layered-Policy-Design">Layering</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Aware-Wording">Wording</a>. An <a class="pattern" href="https://privacypatterns.org/patterns/Abridged-Terms-and-Conditions">Abridged</a> or <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Aware-Network-Client">Standardized Format</a> such as <a class="pattern" href="https://privacypatterns.org/patterns/Platform-for-Privacy-Preferences">PPP</a> may also help. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. Notice on this may further be <a class="pattern" href="https://privacypatterns.org/patterns/Ambient-Notice">Ambient</a> or <a class="pattern" href="https://privacypatterns.org/patterns/Asynchronous-Notice">Asynchronous</a>.	Grounds	Lawfulness of processing	https://gdpr-info.eu/art-6-gdpr	6
19	The protection of personal data should not hinder proportional and necessary measures taken by law enforcement or national security (governed by the Police Directive 2016/680/EC). This processing should be by a competent authority, and may receive additional regulation.	Cooperation	Forces for processing which can be used to personally identify any users	The protection of personal data should not hinder proportional and necessary measures taken by law enforcement or national security (governed by the Police Directive 2016/680/EC). This processing should be by a competent authority, and may receive additional regulation.  Material scope; Recital 19 	As this information may influence consent, all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns, and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, should mention it. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>.	General Obligations	Material scope	https://gdpr-info.eu/art-2-gdpr	2
6	Increased data processing does not preclude a controller from high levels of data protection.	Protection	Forces for processing which can be used to personally identify any users	Increased data processing does not preclude a controller from high levels of data protection.  Subject-matter and objectives; Recital 6 	All <a class="strategy" href="https://privacypatterns.org/categories/control">control</a> patterns deal with this. Specifically in terms of informational self-determination. <a class="pattern" href="https://privacypatterns.org/patterns/Pay-Back">Pay Back</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Reciprocity">Reciprocity</a>, however, need to show this force most. This is because they are susceptible to misuse.	General Obligations	Subject-matter and objectives	https://gdpr-info.eu/art-1-gdpr	1
15	Data protection mechanisms have to be technology-independent.	Protection	Forces for processing which can be used to personally identify any users	Data protection mechanisms have to be technology-independent.  Material scope; Recital 15 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	General Obligations	Material scope	https://gdpr-info.eu/art-2-gdpr	2
80	Where neither occasional nor minor in risk to users, third country controllers must designate, in writing, a representative for processing data from or within the Union. The representative shall reside in and interact with the supervisory authority and users of the appropriate member state. Public bodies do not need a representative.	Representative, Third Country	Forces for processing which can be used to personally identify any users	Where neither occasional nor minor in risk to users, third country controllers must designate, in writing, a representative for processing data from or within the Union. The representative shall reside in and interact with the supervisory authority and users of the appropriate member state. Public bodies do not need a representative.  Representatives of controllers or processors not established in the Union; Recital 80 	This pertains to <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> patterns rather than <a class="strategy" href="https://privacypatterns.org/categories/control">control</a>.	General Obligations	Representatives of controllers or processors not established in the Union	https://gdpr-info.eu/art-27-gdpr	27
74	Controllers should assign responsibility and liability surrounding compliance with data protection principles, taking into account nature, scope, purposes and means of processing, and its risk to user rights and freedoms. Where proportionate, this shall include appropriate data protection policies. Approved codes of conduct or certification mechanisms may help demonstrate this.	Responsibility, Third Country, Codes of Conduct, Certification	Forces for processing which can be used to personally identify any users	Controllers should assign responsibility and liability surrounding compliance with data protection principles, taking into account nature, scope, purposes and means of processing, and its risk to user rights and freedoms. Where proportionate, this shall include appropriate data protection policies. Approved codes of conduct or certification mechanisms may help demonstrate this.  Responsibility of the controller; Recital 74 	Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This force may additionally feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	General Obligations	Responsibility of the controller	https://gdpr-info.eu/art-24-gdpr	24
79	Controllers must establish responsibilities concerning the requirements of European data protection law. Joint data controllers, those who together determine purposes and means, must arrange for exercising user rights between them, for instance through a contact point. This arrangement shall reflect appropriate assignments and be available to users, but users may exercise their rights irrespective of it.	Responsibility, Joint	Forces for processing which can be used to personally identify any users	Controllers must establish responsibilities concerning the requirements of European data protection law. Joint data controllers, those who together determine purposes and means, must arrange for exercising user rights between them, for instance through a contact point. This arrangement shall reflect appropriate assignments and be available to users, but users may exercise their rights irrespective of it.  Joint controllers; Recital 79 	This pertains to <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> patterns rather than <a class="strategy" href="https://privacypatterns.org/categories/control">control</a>.	General Obligations	Joint controllers	https://gdpr-info.eu/art-26-gdpr	26
1	As data protection is a fundamental human right, every user is entitled to it.	Protection	Forces for processing which can be used to personally identify any users	As data protection is a fundamental human right, every user is entitled to it.  Subject-matter and objectives; Recital 1 	All <a class="strategy" href="https://privacypatterns.org/categories/control">control</a> patterns deal with DP more or less. Specifically in terms of informational self-determination. <a class="pattern" href="https://privacypatterns.org/patterns/Pay-Back">Pay Back</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Reciprocity">Reciprocity</a>, however, need to show this force most. This is because they are susceptible to misuse.	User Rights	Subject-matter and objectives	https://gdpr-info.eu/art-1-gdpr	1
85	Controllers must notify the supervisory authority of a data breach within 72 hours, unless they can show that user rights were not at risk. Any delay should be justified. After which, information may be provided in phases if necessary. 	Breach	How to handle potential data breaches	Controllers must notify the supervisory authority of a data breach within 72 hours, unless they can show that user rights were not at risk. Any delay should be justified. After which, information may be provided in phases if necessary.   Notification of a personal data breach to the supervisory authority; Recital 85 	This pertains to <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> patterns rather than <a class="strategy" href="https://privacypatterns.org/categories/control">control</a>. However, knowledge of a breach may also influence consent. Thus <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may include it.	General Obligations	Notification of a personal data breach to the supervisory authority	https://gdpr-info.eu/art-33-gdpr	33
86	Users must be notified of data breaches which may pose a high risk to their rights, and advised on their mitigation. This should be carried out in cooperation and adherence to the supervisory authority.	Breach	How to handle potential data breaches	Users must be notified of data breaches which may pose a high risk to their rights, and advised on their mitigation. This should be carried out in cooperation and adherence to the supervisory authority.  Communication of a personal data breach to the data subject; Recital 86 	This force may use the <a class="pattern" href="https://privacypatterns.org/patterns/Data-Breach-Notification">Data Breach Notification</a> pattern. This also influences choices made by users, and is mostly <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> based. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a> may feature it. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. It is also a part of <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>.	General Obligations	Communication of a personal data breach to the data subject	https://gdpr-info.eu/art-34-gdpr	34
87	Controllers must take measures to immediately detect breaches and promptly notify the supervisory authority. If feasible, they must also notify users if likely to result in high risks to their rights and freedoms, or if the authority deems it necessary. Information on a breach must include its nature, likely consequences, and measures proposed to be taken in response. Contact details of the data protection officer should also be provided. The authority must also be informed of affected categories of data and how many records were affected. In the case of a processor, it should notify its controller after discovery without undue delay.	Breach	How to handle potential data breaches	Controllers must take measures to immediately detect breaches and promptly notify the supervisory authority. If feasible, they must also notify users if likely to result in high risks to their rights and freedoms, or if the authority deems it necessary. Information on a breach must include its nature, likely consequences, and measures proposed to be taken in response. Contact details of the data protection officer should also be provided. The authority must also be informed of affected categories of data and how many records were affected. In the case of a processor, it should notify its controller after discovery without undue delay.  Notification of a personal data breach to the supervisory authority and to the data subject; Recital 87 	This force may use the <a class="pattern" href="https://privacypatterns.org/patterns/Data-Breach-Notification">Data Breach Notification</a> pattern. This also influences choices made by users, and is mostly <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> based. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a> may feature it. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. It is also a part of <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>.	General Obligations	Notification of a personal data breach to the supervisory authority and to the data subject	https://gdpr-info.eu/chapter-4	33,34
